distance inclination_degree
37.33208 36.43744
33.06172 44.38122
44.04501 67.34366
39.05682 26.00784
27.73180 55.03881
45.40086 12.21367
59.05744 83.26707
44.80159 52.62617
37.06643 85.08548
48.56440 52.62617
44.95725 64.43256
35.25255 18.68331
38.61568 77.57441
49.12785 15.84771
31.64268 58.55765
36.20634 56.58526
37.36311 84.90327
31.79191 42.22652
40.80785 52.35360
36.41092 30.46961
32.37080 85.12274
33.98292 76.99047
25.01122 76.07267
42.80318 19.67463
32.09394 64.18012
32.41140 39.43853
46.74936 72.81894
36.51909 64.18012
46.74387 81.11275
30.10263 17.32669
42.41730 75.59887
46.44852 48.05869
40.35386 55.41561
32.49000 43.73696
33.70176 53.68435
31.00526 62.38536
21.55103 70.25211
37.04343 54.99617
37.37654 84.54899
39.45180 76.49239
38.96535 15.68066
36.57453 78.31172
46.35759 48.05869
43.44564 73.76011
40.53664 59.45097
50.43230 3.13600
29.97647 61.28070
34.97568 64.18012
31.93172 13.09795
45.11374 37.94255
33.97803 41.37317
49.58232 18.64312
35.27723 62.15783
40.86848 74.68200
38.72587 52.35360
41.85532 70.61104
36.51675 58.06404
42.22564 21.72044
44.05102 56.67581
48.78286 30.25155
48.47562 87.11899
48.03535 30.25155
30.23593 76.99047
32.49166 39.43853
33.82292 76.12863
28.07688 47.87990
50.77958 76.56943
35.18025 51.21815
54.00518 71.42970
29.72584 47.59711
40.01604 19.30617
45.02824 83.49594
32.17741 76.94661
39.28634 70.24944
36.69968 50.49990
38.31884 19.30617
45.63801 83.49594
47.62555 5.68287
42.23367 74.68200
23.08375 67.16675
36.01402 0.87272
33.67631 73.67701
30.82478 39.43853
50.05546 87.11899
39.36163 22.79780
29.79287 59.29852
38.93875 66.53417
45.72661 76.56943
31.92851 67.22116
40.85206 74.68200
40.73896 34.08435
38.60383 76.49239
49.26125 12.21367
33.69097 34.87241
40.55681 36.43744
43.41387 14.08289
34.81211 64.18012
33.03744 49.54585
27.53041 72.86333
23.20251 57.77818
37.69330 83.55851
54.05132 83.26707
48.82405 11.12557
28.77686 48.32458
45.69201 16.38120
32.80674 70.18519
43.71134 87.78518
46.80368 83.47171
33.96345 54.19402
59.36718 83.26707
39.99813 38.65490
41.27843 51.67085
33.33775 83.74915
34.44867 64.18012
32.93955 85.12274
34.49549 76.94661
27.17260 39.57068
36.01032 85.30501
55.88084 71.42970
38.12063 34.49213
40.46532 50.61265
25.19545 57.13652
29.37466 50.30385
38.20453 59.45097
29.89675 27.91089
31.31694 25.55961
39.34248 56.97894
48.04413 18.64312
34.51744 80.34168
38.32660 34.49213
41.26081 14.05040
29.81953 64.21043
32.66475 27.16232
32.34956 48.83359
38.41898 8.37281
36.63373 56.58526
43.17669 30.71251
31.32130 50.30385
31.27436 21.14553
36.32855 30.46961
35.18282 30.46961
42.57331 70.61104
56.79605 78.38805
38.09289 88.02874
34.22731 43.44786
40.97222 84.90327
39.24718 34.49213
45.96088 21.26171
37.35347 84.54899
37.01361 63.27520
43.34174 86.39319
39.92945 33.35182
41.12452 30.71251
34.21077 11.82792
44.05427 18.64312
45.03981 58.35938
48.53619 47.63317
33.17691 66.68300
48.78943 65.14114
51.50587 24.66178
29.54382 17.32669
37.89641 6.84854
35.50807 86.13850
31.56503 50.30385
30.28671 16.63435
43.29184 63.92291
36.22220 85.30501
37.56891 59.84516
47.48239 47.63317
37.79923 33.35182
46.03616 37.94255
35.37954 78.36931
31.85000 67.96287
58.88319 85.72386
28.37685 18.38889
32.07666 63.61143
32.66660 76.94661
43.22998 81.78291
46.15384 87.78518
30.11599 13.37668
33.12325 21.65333
43.92361 13.14642
29.86516 61.28070
30.94863 34.87241
38.36653 58.76468
34.11847 53.89667
43.54932 32.13391
43.24438 35.47666
58.14325 84.50269
38.54961 59.45097
30.65502 48.26000
26.72390 72.20349
44.08301 75.59887
30.68652 17.70034
31.63069 70.18519
27.33276 37.50593
39.68982 59.45097
26.41994 72.35522
45.83373 39.82811
30.37444 70.18519
31.12755 85.84007
50.30531 58.35938
43.10703 14.08289
32.54371 64.21043
32.55681 63.61143
35.99115 33.84925
43.69862 30.71251
48.25929 48.05869
27.19103 72.20349
51.70650 83.66885
55.20292 77.40365
32.53336 37.54865
40.95435 67.34366
51.16325 72.26762
35.86760 34.52643
43.19470 66.59870
34.80970 76.12863
34.45188 61.95961
33.68461 41.33501
41.18119 50.61265
31.45565 45.43510
29.51276 55.03881
33.55065 23.67385
29.19800 27.35964
46.17830 48.05869
37.96625 58.06404
37.48700 58.76468
21.19261 70.25211
37.19328 21.26886
44.77648 74.68200
37.88786 41.37317
45.20881 71.73432
39.42781 15.68066
34.42771 70.68046
31.36561 16.63435
44.54033 12.61621
42.45369 58.21911
35.62163 78.01128
34.24418 34.87241
36.28038 43.43928
40.11472 0.71222
48.98512 83.47171
33.04129 34.61350
35.46291 5.06635
35.06443 56.05185
33.92334 84.98575
43.38204 14.05040
27.56025 72.35522
37.01141 57.22822
37.03922 21.65333
36.85755 34.93981
38.76780 86.13850
42.51821 67.34366
35.06659 85.12274
39.63507 61.04475
34.07176 77.68187
54.14308 6.41273
30.98222 44.07027
30.43405 87.91401
37.11191 56.05185
31.65021 84.98575
44.35541 37.94255
27.03510 37.50593
30.22332 38.68301
34.84714 63.27520
35.44785 34.49213
51.10738 76.56943
38.22913 56.97894
44.53057 11.12557
32.23315 27.98957
27.11003 18.38889
29.08047 59.29852
34.99558 34.49213
26.67206 46.76771
32.76591 63.61143
32.50880 49.54585
36.91450 76.12863
38.97779 41.18848
35.15970 16.88545
47.30612 88.14218
32.04084 85.58407
41.53439 73.76011
39.94473 33.84925
32.80023 27.16232
36.00041 41.06683
44.87342 13.14642
48.10147 76.56943
29.77975 76.99047
25.29404 45.38248
41.22769 38.90620
48.95270 76.07380
34.70812 41.37317
40.78779 80.36014
31.67767 61.28070
52.29216 9.16937
33.42974 71.30591
55.87802 84.50269
31.49416 85.58407
30.85854 17.32669
43.36344 48.17331
46.60855 12.21367
38.11419 62.15783
39.68192 66.18825
32.18237 34.87241
43.14210 25.02177
34.85602 81.13158
42.86549 66.53417
59.17770 9.92115
38.35821 34.49213
32.61157 42.22652
50.77010 83.66885
54.72147 72.26762
50.24739 5.68287
47.07153 47.63317
46.64922 52.62617
26.15737 35.58310
47.74121 62.43364
41.68206 21.26886
43.31765 83.49594
36.38443 59.84516
40.09692 38.71731
41.39185 38.90620
34.28888 76.12863
40.99280 55.99947
27.23912 80.39993
32.12739 83.74915
42.08896 70.23547
42.13909 21.26171
56.51166 6.41273
49.90780 30.25155
32.46822 29.35480
30.57333 58.55765
33.81981 58.06404
45.36336 83.49594
32.06551 73.67701
38.05867 2.62784
49.20345 30.25155
42.22521 80.92051
27.90665 55.60625
31.22700 71.30591
40.19364 50.90789
35.84015 16.88545
28.42398 48.26000
37.36719 48.83359
45.56476 64.43256
42.66386 66.18825
42.70651 38.65490
33.74307 83.74915
40.97734 37.94255
31.41260 48.26000
41.98889 8.52256
36.91027 41.06683
50.30575 5.68287
37.78763 65.62509
43.15623 21.72044
33.27056 62.38536
51.73160 76.07380
27.81839 72.35522
43.64837 37.94255
42.35376 74.68200
23.98755 87.52063
33.86774 67.22116
34.26677 74.65135
48.34284 83.47171
49.54727 5.68287
31.13399 64.21043
41.19303 9.82304
39.95600 6.84854
38.43068 78.31172
44.08722 56.67581
31.84348 69.66758
41.26597 15.53652
38.08951 21.26886
44.55855 70.21068
31.47960 63.16022
28.96419 27.91089
29.94093 16.63435
41.62935 0.71222
38.74036 50.49990
36.23771 34.93981
27.78533 55.60625
38.68516 58.76468
35.74183 41.83862
34.24244 78.01128
26.92637 55.60625
49.62143 62.43364
26.96238 57.77818
38.33436 52.11615
37.16566 85.30501
36.89508 9.78039
28.85875 47.87990
32.56414 44.07027
32.75958 76.99047
38.38577 39.55161
44.02430 28.93517
39.11868 78.31172
35.67085 26.81901
36.65976 85.30501
36.72882 84.54899
22.94595 62.61495
28.48700 72.86333
56.11570 6.41273
39.22961 41.48353
36.38434 0.87272
28.51516 59.96083
23.00179 67.16675
34.62485 44.38122
60.94885 85.34179
27.38087 46.76771
43.05869 83.49594
41.49914 66.53417
33.67863 77.68187
26.06608 57.13652
29.53444 56.72702
49.33712 47.63317
49.17335 15.84771
31.71502 13.09795
54.11198 76.56943
47.06364 65.14114
26.19262 72.20349
50.05922 83.66885
35.38666 85.12274
39.86081 70.21068
33.29202 74.65135
53.31890 24.66178
29.70739 66.36616
42.30911 21.72044
44.37984 48.17331
27.27259 55.60625
33.03636 78.01128
37.99367 52.35360
32.66399 34.61350
39.41692 51.67549
34.23176 53.89667
46.96427 87.11899
43.08941 37.26060
36.52672 88.02874
40.46803 22.79780
37.93797 33.84925
32.92251 55.48771
44.89569 87.78518
24.42857 70.25211
30.66898 84.98575
35.46373 9.78039
34.05043 53.89667
32.08328 53.89667
38.97910 21.26886
34.21969 70.68046
54.85634 16.59924
36.62967 77.68187
38.27299 0.71222
43.96955 68.97693
45.04852 13.14642
31.69063 43.73696
36.69682 56.05185
30.82968 87.91401
33.49070 65.53127
54.92524 77.40365
29.24298 45.11600
38.73428 62.15783
51.47870 87.11899
40.13244 67.34366
29.61097 61.28070
47.70510 87.78518
24.54742 57.77818
28.12176 59.96083
30.19756 81.94199
43.89943 21.26171
45.76728 13.14642
27.58697 72.20349
34.97578 64.18012
46.21785 56.67581
35.42247 76.94661
39.40219 63.27520
36.01453 9.78039
40.56396 33.35182
35.21108 50.49990
34.45673 61.94169
46.79331 58.35938
38.26076 25.65753
43.67458 8.37281
52.86372 62.43364
43.83343 70.61104
49.87216 72.26762
44.78825 61.04475
37.93457 18.68331
37.40678 81.13953
39.24504 81.13953
43.43025 0.71222
26.20240 72.35522
35.20011 41.33501
42.84115 79.47697
38.58735 33.84925
51.53264 5.68287
48.03178 48.17331
28.79234 17.70034
46.19038 58.35938
37.71294 45.35998
43.73968 70.61104
41.23680 8.52256
43.08007 8.52256
40.59010 81.37572
27.04209 18.38889
31.88057 51.55509
48.90092 24.66178
32.20329 39.43853
38.63968 66.24056
31.64157 87.91401
53.11114 6.41273
31.41482 45.43510
41.75691 14.08289
41.39421 39.82811
45.67301 17.45782
38.63558 71.95406
42.66085 70.23547
44.82724 14.05040
43.99097 38.90620
34.64572 57.30579
41.36777 74.68200
31.82342 57.30579
53.07634 76.07380
25.22211 57.77818
27.24437 56.72702
41.31988 40.99035
41.16950 59.45097
44.26494 30.71251
37.63299 54.99617
26.96549 56.72702
46.88232 81.11275
35.68644 9.78039
28.93133 68.78457
43.84439 35.47666
46.40750 63.92291
42.57102 61.39008
35.72112 84.54899
53.28029 76.07380
35.55533 67.22116
47.99289 23.30090
42.73800 1.38577
31.43049 45.43510
48.15619 11.12557
36.04566 83.55851
31.83980 70.18519
24.37308 67.16675
45.53266 88.14218
26.38136 79.94575
44.52448 63.92291
35.79345 70.68046
36.09089 40.62679
39.13299 34.08435
46.12960 73.76011
34.32023 61.94169
30.63884 85.58407
27.90995 57.13652
47.05462 38.90620
30.32889 34.61350
44.66849 16.38120
26.75575 27.91089
34.34782 67.96287
27.08390 79.94575
32.39565 6.99363
38.69668 21.26886
32.59970 54.79472
41.83314 18.47601
46.62800 58.35938
47.02571 16.38120
31.73520 43.73696
34.95870 71.60116
35.99630 9.78039
45.62125 15.84771
35.89720 34.52643
25.29825 57.77818
39.54960 19.30617
39.95174 55.99947
54.49786 83.26707
45.60476 76.93888
52.78814 76.56943
37.43422 53.89667
25.53434 55.60625
39.89251 18.68331
30.65000 58.55765
32.54843 67.96287
31.35278 70.18519
39.65135 18.68331
37.64581 54.99617
36.01260 59.84516
39.96326 36.43744
40.24785 71.95406
32.33891 29.61351
44.05617 37.94255
34.13394 71.60116
40.36488 67.34366
33.93597 54.19402
28.79578 18.38889
32.64108 25.55961
43.36637 30.71251
23.77245 67.16675
26.93415 61.28070
38.53339 36.43744
35.86202 43.43928
48.16465 64.43256
33.06149 21.14553
44.68792 56.24217
45.96184 1.01633
32.48223 59.54794
42.24832 67.34366
33.15877 88.42274
41.33111 51.67549
42.35922 75.59887
48.09911 12.38517
31.44719 9.78039
48.87163 72.26762
52.05156 77.40365
51.90790 76.07380
34.00226 45.43510
45.25255 36.80664
44.18023 7.67861
44.27714 10.97846
29.35685 13.37668
34.93769 65.53127
28.86702 84.98575
43.82424 21.26171
48.07735 23.30090
46.70821 87.11899
31.45577 61.28070
30.22350 64.21043
32.28401 44.24426
34.40712 64.18012
41.37810 71.95406
29.27769 46.89718
28.77553 36.92319
40.75543 51.67549
37.26196 57.99133
43.77313 38.90620
31.22919 76.99047
32.06122 64.21043
47.36016 61.56453
31.18815 59.54794
31.04139 80.39993
40.98252 15.68066
32.37283 54.79472
40.30154 58.21911
37.28580 22.80779
39.18162 8.37281
48.05834 72.26762
36.62129 54.99617
37.07176 57.99133
45.65258 38.90620
34.38603 53.89667
32.93543 51.21815
50.30017 5.68287
43.25671 66.18825
28.40769 48.26000
29.16002 36.92319
42.12364 63.57741
32.61875 83.74915
30.20894 80.39993
47.21711 48.17331
28.16176 36.92319
50.85246 73.76011
50.05313 52.62617
27.58238 33.15025
35.40590 70.33944
42.90845 35.47666
62.01857 83.26707
43.62544 38.90620
41.32894 67.34366
31.10746 62.38536
45.12105 71.73432
41.34349 21.72044
47.24934 30.25155
36.70413 84.54899
36.26688 34.49213
39.01809 67.34366
44.30463 14.05040
43.57712 48.17331
30.75120 43.73696
35.82037 86.13850
46.19817 86.39319
32.67155 87.91401
42.41848 38.71731
29.12603 13.37668
42.98296 70.23651
37.50541 81.13953
37.56866 33.35182
48.59617 47.63317
26.30686 37.50593
58.85353 66.87453
25.51867 14.40746
34.52339 0.87272
44.90529 58.35938
47.13940 5.68287
43.71286 8.52256
29.65336 80.39993
34.54109 55.48771
25.11355 76.07267
32.65790 57.30579
50.86190 77.40365
44.91733 14.05040
32.55359 6.99363
39.73502 67.34366
38.44522 78.31172
35.71908 84.90327
29.19232 18.38889
46.67978 72.81894
31.25876 71.60116
43.72692 36.80664
42.67848 50.59688
29.11043 13.37668
32.50119 77.68187
51.00417 83.47171
35.16083 34.08435
32.23493 37.54865
41.94604 50.90789
42.74418 25.65753
30.84578 69.66758
42.05571 13.14642
46.82904 65.14114
43.66920 16.38120
32.93369 53.89667
44.63012 68.97693
56.68111 77.40365
40.37513 84.53774
40.88670 10.97846
51.47990 5.68287
31.54860 74.65135
38.57514 38.71731
40.02687 80.92051
43.97023 70.21068
37.77513 45.35998
35.57464 11.82792
38.95857 89.75938
41.87077 84.90327
43.59694 85.75300
40.45390 59.45097
29.89890 45.43510
34.91140 43.44786
37.60963 39.55161
45.82639 87.78518
44.59038 72.81894
42.16249 78.31172
34.79881 57.30579
29.73479 68.78457
40.11443 61.92591
27.18918 48.26000
46.73299 15.84771
34.77973 78.15897
56.10980 83.26707
30.55212 75.00224
36.44566 52.82969
37.73477 55.99947
31.21047 57.30579
51.98993 9.16937
32.63510 43.44786
51.02834 72.26762
33.53931 55.48771
49.82406 30.25155
44.87996 48.05869
37.67370 22.35803
38.99207 83.43362
34.24275 6.48053
43.62987 14.08289
36.32172 16.88545
57.93392 77.40365
37.23809 26.81901
60.31938 83.26707
39.87835 38.71731
38.71183 33.35182
36.51691 54.99617
46.52974 58.35938
34.29211 11.82792
43.51977 79.47697
44.12334 79.47697
36.46492 61.92591
60.31172 66.87453
25.28389 57.77818
33.63989 18.79653
29.46661 50.30385
25.83761 35.58310
42.94874 61.39008
35.65420 42.75017
33.95540 51.55509
45.01198 48.05869
40.16076 8.37281
33.63574 41.06683
26.28979 79.94575
36.57098 76.93382
40.33612 8.52256
44.41655 61.39008
35.11270 53.89667
36.21640 81.13953
27.34781 35.58310
41.84550 86.24865
29.56003 18.38889
36.38499 43.44786
34.31570 61.94169
41.62124 67.34366
33.59353 54.79472
35.73315 53.89667
39.16001 83.44503
25.45573 62.61495
36.43760 22.35803
51.40596 9.16937
37.97308 57.91468
41.64474 36.80664
37.68396 21.72044
35.48929 51.21815
42.31576 38.71731
26.02815 13.37668
39.25391 8.37281
25.00743 72.86333
51.65670 83.66885
37.33665 77.57441
36.31729 50.49990
32.44358 14.57500
22.45558 67.16675
38.60677 41.48353
33.77745 78.15897
39.92063 41.14069
36.50993 22.88954
46.03589 74.68200
41.30510 13.14642
57.26672 77.40365
36.64273 34.49213
47.94689 81.11275
35.96765 61.95961
41.74251 56.24217
39.99329 19.67463
40.34017 66.18825
33.47468 43.73696
37.41997 87.07123
48.33684 65.14114
45.33377 60.19581
30.05206 13.37668
42.38944 51.67549
39.44134 65.62509
36.18996 56.05185
33.74256 85.12274
44.14302 67.97668
49.10495 72.26762
37.98164 57.22822
40.81480 70.21068
32.09705 63.16022
27.60092 50.30385
35.68666 66.68300
29.26382 38.14450
33.56327 52.82969
48.50637 15.84771
27.35032 72.20349
34.91233 16.88545
40.59946 66.24056
41.27197 61.04475
43.24601 77.05252
28.48451 69.66758
43.98061 25.02177
42.64266 0.71222
42.65571 35.47666
37.90698 85.30501
38.71748 33.84925
31.72957 57.30579
42.68733 25.02177
36.34285 85.30501
36.16664 58.06404
43.30556 15.53652
65.60743 85.72386
28.95793 36.92319
42.05242 41.14069
38.38392 8.52256
46.17621 87.11899
34.07120 41.37317
46.17630 5.68287
40.17177 81.37572
41.27387 76.49239
39.06597 53.89667
39.86837 41.48353
41.92828 15.53652
26.56809 35.58310
34.68328 56.05185
28.78398 76.99047
39.18729 63.27520
40.22166 56.97894
